CONTRACT_ID,Breast.Cancer.Screening,Colorectal.Cancer.Screening,Cardiovascular.Care...Cholesterol.Screening,Diabetes.Care...Cholesterol.Screening,Glaucoma.Testing,Annual.Flu.Vaccine,Improving.or.Maintaining.Physical.Health,Improving.or.Maintaining.Mental.Health,Monitoring.Physical.Activity,Adult.BMI.Assessment,Care.for.Older.Adults...Medication.Review,Care.for.Older.Adults...Functional.Status.Assessment,Care.for.Older.Adults...Pain.Screening,Osteoporosis.Management.in.Women.who.had.a.Fracture,Diabetes.Care...Eye.Exam,Diabetes.Care...Kidney.Disease.Monitoring,Diabetes.Care...Blood.Sugar.Controlled,Diabetes.Care...Cholesterol.Controlled,Controlling.Blood.Pressure,Rheumatoid.Arthritis.Management,Improving.Bladder.Control,Reducing.the.Risk.of.Falling,Plan.All.Cause.Readmissions,Getting.Needed.Care,Getting.Appointments.and.Care.Quickly,Customer.Service,Overall.Rating.of.Health.Care.Quality,Overall.Rating.of.Plan,Care.Coordination,Complaints.about.the.Health.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Improvement,Plan.Makes.Timely.Decisions.about.Appeals,Reviewing.Appeals.Decisions,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Enrollment.Timeliness,Call.Center...Pharmacy.Hold.Time,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Appeals.Auto.Forward,Appeals.Upheld,Enrollment.Timeliness,Complaints.about.the.Drug.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Drug.Plan.Quality.Improvement,Getting.Information.From.Drug.Plan,Rating.of.Drug.Plan,Getting.Needed.Prescription.Drugs,MPF.Price.Accuracy,High.Risk.Medication,Diabetes.Treatment,Part.D.Medication.Adherence.for.Oral.Diabetes.Medications,Part.D.Medication.Adherence.for.Hypertension..RAS.antagonists.,Part.D.Medication.Adherence.for.Cholesterol..Statins., Special Needs Plan (SNP) Care Management,Contract_Type,Year
H0320,2,2,3,4,1,1,4,2,1,3,0,0,0,1,1,3,2,2,4,3,2,1,3,2,2,4,1,2,1,4,4,4,3,4,0,2,5,3,1,1,0,5,4,4,4,3,4,2,4,0,4,1,2,2,3,0,MA PD,2013
H0321,2,3,3,3,2,2,5,2,2,4,3,2,3,2,4,5,2,2,3,3,2,5,3,3,3,1,2,4,2,3,1,5,4,5,2,5,0,5,5,1,0,0,3,1,5,3,0,4,3,4,1,3,2,2,2,0,MA PD,2013
H0332,5,5,5,5,5,5,5,2,3,5,0,0,0,3,5,5,5,5,5,0,3,4,2,5,5,5,5,5,5,3,5,5,2,4,3,4,5,5,5,2,0,5,3,5,5,1,5,5,4,4,5,5,3,2,3,0,MA PD,2013
H0351,3,5,5,5,2,4,5,3,2,5,4,3,4,1,4,5,4,4,5,3,3,4,2,4,4,4,4,4,4,4,5,4,5,4,4,3,5,3,4,5,0,5,4,5,4,5,4,4,4,0,2,3,3,3,3,0,MA PD,2013
H0354,4,5,5,4,4,4,5,2,2,5,5,5,5,2,4,5,5,5,5,4,2,3,2,4,4,4,4,4,4,5,3,5,4,5,5,5,5,3,2,5,0,5,5,3,5,3,5,4,4,3,4,3,3,4,4,0,MA PD,2013
H0401,2,2,3,2,2,2,5,2,1,3,0,0,0,0,2,4,2,2,3,3,2,3,4,2,3,2,4,2,4,2,1,3,1,4,5,5,5,5,5,1,0,5,2,1,3,2,4,4,4,4,2,3,3,3,4,0,MA PD,2013
H0423,4,4,5,5,3,3,5,2,3,5,4,3,5,0,4,5,3,3,3,3,0,5,2,2,1,1,2,1,3,3,3,2,1,2,3,1,5,3,1,2,5,5,3,3,2,2,0,1,2,4,4,5,1,1,1,0,MA PD,2013
H0504,4,5,5,5,2,3,5,2,3,3,0,0,0,1,4,5,4,5,4,3,3,4,4,2,4,4,4,4,3,3,4,3,2,3,3,4,2,5,5,3,5,2,3,4,3,5,4,5,4,4,3,3,3,4,4,0,MA PD,2013
H0523,4,5,5,5,1,4,4,2,2,4,0,0,0,1,4,5,4,5,3,4,2,3,3,2,4,4,4,4,3,3,2,4,1,4,3,5,4,3,5,2,0,4,3,2,4,1,0,4,4,4,5,3,3,3,3,0,MA PD,2013
H0524,5,5,5,5,5,5,4,2,5,5,5,5,4,5,5,5,5,5,5,5,2,4,3,4,5,5,5,5,4,4,4,5,4,5,3,5,5,5,5,1,3,5,4,4,5,2,5,5,5,4,5,5,5,5,5,0,MA PD,2013
H0543,4,5,5,5,3,4,5,2,2,4,2,1,1,1,4,5,4,5,4,3,2,3,4,2,4,3,4,4,3,3,1,5,1,4,3,5,5,5,5,4,5,5,3,1,5,5,4,4,4,4,3,3,3,3,4,0,MA PD,2013
H0544,4,5,5,5,5,4,4,3,3,4,4,4,5,3,4,5,4,4,5,2,3,4,4,3,2,5,4,5,2,3,4,5,4,2,2,5,3,5,5,5,0,3,3,4,5,3,4,5,4,4,4,5,3,3,3,0,MA PD,2013
H0545,4,4,5,5,5,3,4,2,2,4,0,0,0,1,4,5,4,5,5,3,3,3,4,2,2,5,4,5,2,5,5,5,3,5,5,5,5,5,5,5,0,5,5,5,5,3,5,5,4,4,3,3,3,3,3,0,MA PD,2013
H0562,4,5,5,5,3,5,5,2,2,4,4,2,3,1,4,5,5,5,4,4,2,4,3,2,4,2,4,4,2,3,5,5,3,4,3,3,5,3,5,2,1,5,3,5,5,4,2,4,4,0,3,4,3,3,4,0,MA PD,2013
H0564,3,4,5,5,2,2,4,2,1,4,0,0,0,1,4,5,4,4,4,3,2,3,4,2,4,2,2,2,1,1,3,3,4,2,3,2,3,5,1,4,0,3,1,3,3,4,0,4,2,3,4,3,2,3,3,0,MA PD,2013
H0571,4,5,5,4,3,5,5,2,3,4,3,2,3,2,4,4,4,4,5,1,1,5,4,2,4,4,1,4,2,5,4,5,4,5,3,3,5,5,1,2,0,5,5,4,5,3,0,4,2,4,5,3,5,5,5,0,MA PD,2013
H0602,3,5,5,3,3,4,4,2,2,4,0,0,0,1,4,3,4,4,5,3,2,3,0,5,5,5,5,5,5,5,5,5,2,4,4,0,5,0,0,5,0,5,5,5,5,3,5,4,5,3,3,3,3,4,4,0,MA PD,2013
H0609,3,4,5,4,3,5,4,3,2,3,0,0,0,1,3,5,4,5,4,3,2,3,4,4,4,2,4,2,4,3,1,5,2,3,3,5,5,5,5,3,5,5,3,1,5,4,4,4,4,4,3,4,3,3,4,0,MA PD,2013
H0620,1,1,0,2,1,0,4,1,2,5,5,5,5,1,5,4,3,4,0,0,3,5,4,0,0,0,0,0,0,4,1,5,4,0,0,5,0,5,4,1,0,0,4,1,5,2,0,0,0,3,3,1,5,4,5,0,MA PD,2013
H0621,2,2,2,2,2,2,5,3,1,4,3,2,4,0,3,3,3,2,3,3,0,4,2,2,4,2,2,1,2,3,4,5,2,5,0,5,5,4,2,1,0,5,3,4,5,2,1,1,2,4,1,5,2,1,3,0,MA PD,2013
H0623,2,3,4,4,2,2,4,2,2,3,0,0,0,1,2,5,3,3,3,3,3,3,3,4,4,2,4,2,3,2,4,1,4,5,0,5,5,5,5,5,0,5,2,4,1,2,4,4,4,3,3,5,4,4,4,0,MA PD,2013
H0624,2,2,3,3,2,3,5,2,2,3,2,2,1,1,3,4,3,3,4,4,3,5,4,3,4,1,2,4,3,2,1,3,1,3,0,5,0,5,4,2,0,0,2,1,3,2,0,4,4,4,1,4,2,2,3,0,MA PD,2013
H0630,5,5,5,5,5,5,5,3,3,5,3,4,3,3,5,5,5,5,5,4,2,3,4,4,5,4,5,5,4,4,5,5,2,5,5,5,4,5,5,4,0,4,4,5,5,4,5,5,5,4,5,5,4,5,5,0,MA PD,2013
H0710,3,2,3,3,4,4,5,3,2,2,2,3,3,1,4,4,2,2,2,3,0,5,4,3,3,3,4,4,2,4,1,3,3,5,5,5,0,4,4,5,0,0,4,1,3,3,0,4,2,4,3,3,2,3,3,0,MA PD,2013
H0712,3,4,5,4,3,2,4,3,2,3,2,2,3,0,3,4,3,2,3,0,0,4,3,2,3,1,2,2,3,3,4,2,4,5,3,3,5,4,3,5,0,5,3,4,2,4,1,2,1,4,4,5,1,1,1,0,MA PD,2013
H0752,3,3,5,4,2,3,5,2,2,2,0,0,0,1,3,4,3,2,4,4,2,4,4,2,4,5,4,2,3,4,1,1,2,3,2,5,5,4,5,5,0,5,4,1,1,3,0,2,4,4,5,3,3,4,4,0,MA PD,2013
H0755,3,4,4,4,4,5,5,3,2,2,0,0,0,1,4,4,3,2,4,4,2,4,3,4,4,3,4,2,5,3,1,2,1,3,3,5,5,4,5,3,5,5,3,1,2,4,4,1,4,4,5,1,4,4,4,0,MA PD,2013
H0838,2,2,0,4,3,2,0,0,0,5,5,3,4,0,3,3,2,2,3,0,0,0,4,2,1,1,2,2,2,2,5,2,2,0,0,4,3,5,3,5,0,3,2,5,2,3,0,4,4,4,1,5,2,1,4,0,MA PD,2013
H0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,3,5,0,0,0,0,2,0,0,0,0,0,4,5,5,1,2,2,0,PART D ,2013
H0913,3,2,5,5,1,1,4,2,2,2,0,0,0,0,2,4,2,2,2,0,0,4,1,2,1,1,2,1,2,1,4,1,4,4,5,3,5,4,3,5,0,5,1,4,1,3,0,1,2,4,5,5,1,1,1,0,MA PD,2013
H0979,3,2,3,3,3,3,0,0,2,2,0,0,0,0,3,2,2,2,1,3,3,4,4,5,4,4,4,4,5,2,5,4,4,0,0,5,5,4,5,5,0,5,2,5,4,4,3,2,4,4,2,3,4,4,3,0,MA PD,2013
H1013,4,5,5,5,3,1,5,2,3,4,2,1,1,2,3,5,4,4,3,2,3,5,3,4,2,3,4,4,4,4,2,2,5,4,2,4,3,5,5,1,0,3,4,2,2,5,0,5,4,4,3,3,3,2,1,0,MA PD,2013
H1016,4,5,5,5,5,1,4,2,3,2,0,0,0,1,4,5,4,5,4,3,3,4,2,5,1,5,4,5,3,4,4,5,4,5,4,3,5,5,2,1,2,5,4,4,5,5,4,5,4,3,3,3,3,3,2,0,MA PD,2013
H1019,4,5,5,5,5,1,5,2,2,4,4,3,4,5,4,5,4,4,4,3,3,4,3,3,2,4,4,5,4,3,4,1,4,3,5,5,5,5,5,4,0,5,3,4,1,5,0,5,4,3,3,5,3,2,1,0,MA PD,2013
H1026,3,3,5,5,1,2,5,1,2,3,0,0,0,1,1,4,4,4,4,2,2,3,2,4,4,4,4,4,3,2,3,2,2,4,3,3,3,3,5,2,0,3,2,3,2,5,4,4,4,4,5,2,3,2,2,0,MA PD,2013
H1032,3,5,5,5,3,2,4,2,3,4,2,2,3,1,2,5,3,3,3,2,3,4,3,2,4,2,2,4,2,2,4,1,1,4,5,3,5,4,3,4,0,5,2,4,1,5,0,4,4,4,2,4,3,2,2,0,MA PD,2013
H1035,4,5,5,5,5,4,4,2,2,5,0,0,0,3,4,5,5,5,4,3,3,4,3,5,4,5,5,5,5,5,5,5,3,5,3,3,5,5,5,5,0,5,5,5,5,4,5,5,5,4,3,3,4,4,4,0,MA PD,2013
H1036,4,5,5,5,5,2,5,2,2,5,4,4,4,3,4,5,5,4,4,2,3,4,4,4,4,2,4,4,2,3,4,4,5,5,5,5,5,5,5,4,5,5,3,4,4,5,4,5,4,3,4,5,4,3,3,0,MA PD,2013
H1045,4,5,5,5,5,1,4,2,3,4,3,2,3,2,4,5,4,5,5,2,2,4,3,4,3,5,5,5,4,2,4,3,1,4,2,4,5,5,2,1,0,5,2,4,3,4,4,5,4,4,2,4,5,4,3,0,MA PD,2013
H1076,3,4,5,5,1,1,5,2,2,4,2,2,1,3,1,4,3,3,3,2,0,4,3,2,3,2,4,4,3,3,2,1,5,0,0,4,0,5,5,2,0,0,3,2,1,3,0,5,3,4,3,4,3,1,2,0,MA PD,2013
H1080,2,4,5,4,3,3,2,3,2,3,1,1,2,1,3,3,3,3,3,3,3,4,3,5,4,4,4,4,3,2,1,4,1,4,5,5,5,4,5,3,5,5,2,1,4,3,0,2,4,4,4,1,3,2,2,0,MA PD,2013
H1099,4,5,5,5,4,4,5,2,2,5,0,0,0,1,4,5,5,5,5,4,3,4,3,4,4,5,4,5,3,4,5,5,2,2,5,4,5,3,2,5,0,5,4,5,5,3,5,4,4,4,4,3,3,3,4,0,MA PD,2013
H1108,2,2,3,2,4,1,4,2,2,3,3,3,4,1,4,4,2,2,2,2,2,4,4,4,3,3,4,4,2,5,1,3,1,3,3,5,0,4,4,1,0,0,5,1,3,4,0,5,4,4,1,1,1,2,2,0,MA PD,2013
H1109,3,3,5,5,3,3,5,2,3,4,0,0,0,0,4,5,3,4,3,0,2,3,3,4,4,4,4,2,3,4,2,2,3,4,0,5,2,3,5,2,0,2,4,2,2,5,3,2,2,4,5,3,2,2,2,0,MA PD,2013
H1110,3,4,3,5,4,5,0,0,3,4,0,0,0,0,4,5,3,4,4,0,3,3,2,4,4,4,4,2,3,4,2,5,1,3,0,5,0,3,5,5,0,0,4,2,5,2,0,2,3,4,5,3,2,3,3,0,MA PD,2013
H1111,3,3,5,4,2,2,3,2,2,3,2,1,2,0,3,4,2,2,2,4,2,4,3,4,1,3,2,4,2,1,1,1,3,3,0,5,5,4,5,3,0,5,1,1,1,4,0,4,4,4,1,3,1,1,1,0,MA PD,2013
H1112,3,3,4,4,2,1,4,2,2,4,2,2,3,0,2,5,2,2,2,2,1,3,2,2,2,3,2,4,2,2,4,3,2,4,4,3,5,4,3,4,0,5,2,4,3,4,2,4,4,4,3,4,1,1,1,0,MA PD,2013
H1170,5,5,5,5,2,4,4,2,3,5,5,5,5,2,5,5,5,5,5,4,2,3,4,3,4,4,4,5,5,2,5,5,3,4,3,5,4,5,5,5,0,4,2,5,5,3,4,5,4,4,5,5,3,4,3,0,MA PD,2013
H1216,2,2,3,2,2,1,5,2,2,4,2,2,3,0,2,4,2,2,3,0,0,0,2,2,2,1,2,4,2,1,4,2,2,5,5,3,5,3,3,5,0,5,1,4,2,4,0,4,2,4,4,2,1,1,1,0,MA PD,2013
H1230,5,5,5,5,5,5,5,2,3,5,0,0,0,4,5,5,5,5,5,4,3,4,4,4,5,4,5,5,5,4,5,5,2,0,0,5,3,5,5,5,0,3,4,5,5,1,4,5,5,4,5,5,4,4,5,0,MA PD,2013
H1251,3,5,5,5,4,5,5,2,3,1,0,0,0,2,4,3,2,4,1,3,2,4,4,5,4,4,4,5,4,5,4,1,1,0,0,0,0,0,0,5,0,0,5,4,1,1,0,2,4,4,5,2,3,3,3,0,MA PD,2013
H1264,3,2,5,5,2,2,4,1,2,4,2,2,3,2,3,5,2,2,2,3,0,5,3,2,1,1,1,2,2,1,4,1,4,4,5,3,5,3,3,4,0,5,1,4,1,5,0,2,1,4,4,5,1,1,1,0,MA PD,2013
H1286,3,3,4,4,2,3,2,2,2,3,0,0,0,2,3,5,4,3,3,3,2,2,4,4,5,3,4,1,4,3,1,4,2,4,4,5,5,5,5,5,0,5,3,1,4,3,4,2,3,4,3,3,4,3,4,0,MA PD,2013
H1291,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,4,2,5,0,4,0,0,0,0,5,0,5,5,0,0,0,0,4,0,0,0,2,4,3,5,1,5,5,3,0,PART D ,2013
H1302,2,3,5,2,2,1,0,0,2,2,0,0,0,0,2,3,3,2,3,4,3,1,4,4,4,5,4,2,4,3,3,1,0,4,5,4,5,5,5,1,0,5,3,3,1,2,0,1,4,4,4,3,3,3,3,0,MA PD,2013
H1303,2,2,3,3,2,3,5,2,3,3,0,0,0,2,4,4,3,4,3,3,2,3,4,4,5,3,4,2,4,3,1,4,2,4,3,5,5,5,5,3,0,5,3,1,4,2,4,2,4,4,3,4,2,3,4,0,MA PD,2013
H1304,3,2,4,3,5,4,4,2,2,3,0,0,0,1,4,5,2,2,2,3,3,2,4,4,4,4,4,4,4,5,3,5,4,0,0,5,4,5,5,2,0,4,5,3,5,3,4,2,4,4,1,3,4,4,4,0,MA PD,2013
H1350,3,4,4,4,5,4,5,2,2,3,5,5,5,1,3,3,4,4,4,4,3,3,4,5,5,5,4,4,5,5,3,4,4,4,4,4,5,5,5,1,0,5,5,3,4,5,0,4,4,4,3,3,4,5,5,0,MA PD,2013
H1365,4,3,0,5,4,3,0,0,2,4,0,0,0,0,4,4,2,2,1,0,3,1,4,5,5,5,5,5,5,3,4,4,0,0,0,5,5,3,5,1,0,5,3,4,4,0,4,4,4,4,5,5,3,4,4,0,MA PD,2013
H1406,3,4,5,5,2,4,4,3,3,5,0,0,0,1,4,5,4,5,4,3,2,3,3,4,4,3,4,4,4,2,3,5,4,5,5,5,5,5,5,5,0,5,2,3,5,4,3,4,4,3,5,4,3,3,3,0,MA PD,2013
H1415,4,4,4,4,1,1,5,3,3,5,4,4,4,1,4,5,3,3,4,3,2,4,3,2,2,2,4,2,3,2,4,3,4,5,5,3,5,3,3,5,0,5,2,4,3,3,0,4,3,4,5,5,2,2,1,0,MA PD,2013
H1416,3,3,4,3,2,1,5,2,3,5,3,2,4,1,4,4,3,2,3,3,3,5,2,1,1,2,2,1,3,2,4,3,4,5,5,3,5,3,3,5,0,5,2,4,3,2,1,4,3,4,5,5,1,2,1,0,MA PD,2013
H1417,4,5,5,4,4,5,4,2,2,4,0,0,0,2,4,4,4,4,4,5,3,2,2,5,5,4,5,5,5,3,4,5,1,4,0,3,5,5,4,5,0,5,3,4,5,2,4,4,4,4,3,3,5,5,5,0,MA PD,2013
H1418,2,3,5,4,2,3,4,3,2,4,0,0,0,1,3,4,3,4,4,3,2,3,2,4,4,2,4,2,3,2,4,4,4,5,0,5,5,5,5,4,0,5,2,4,4,5,4,4,3,3,4,3,4,4,4,0,MA PD,2013
H1419,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,5,3,5,0,0,5,0,2,0,0,0,0,0,4,5,4,2,1,1,0,PART D ,2013
H1463,4,5,4,4,5,5,5,2,2,5,0,0,0,1,4,4,4,4,4,5,2,4,3,4,5,5,4,5,5,4,4,5,1,5,2,3,0,5,4,5,0,0,4,4,5,2,5,5,5,4,2,3,5,5,5,0,MA PD,2013
H1468,3,4,5,5,4,4,4,3,2,5,0,0,0,1,4,5,4,4,5,3,2,3,2,5,5,2,5,4,5,4,4,5,4,5,0,5,5,5,5,5,0,5,4,4,5,3,3,5,4,3,3,3,5,5,5,0,MA PD,2013
H1509,2,2,5,4,3,5,4,3,2,2,2,2,2,1,4,4,3,3,3,4,3,2,4,4,3,4,4,2,4,3,1,5,4,3,4,5,4,4,5,4,5,4,3,1,5,4,0,4,4,4,2,3,3,3,3,0,MA PD,2013
H1510,3,4,4,4,3,4,5,3,2,4,0,0,0,1,3,4,3,3,4,4,1,1,3,4,4,2,5,4,3,4,4,1,2,5,5,5,5,5,5,4,0,5,4,4,1,4,4,4,2,4,3,3,4,4,4,0,MA PD,2013
H1517,2,3,4,4,3,3,0,0,2,4,0,0,0,0,3,4,3,4,3,4,2,2,4,4,4,2,4,4,5,1,3,4,4,0,0,2,5,5,1,1,0,5,1,3,4,5,0,5,4,3,2,4,4,4,5,0,MA PD,2013
H1595,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,4,4,3,2,5,0,0,0,0,4,5,3,2,0,0,5,2,5,0,0,0,4,4,4,1,3,3,4,5,0,PART D ,2013
H1607,3,4,4,3,3,3,4,3,2,4,0,0,0,0,4,4,3,4,4,4,2,2,4,4,4,4,4,2,3,1,3,3,2,0,0,3,4,5,1,1,0,4,1,3,3,4,3,2,2,3,3,1,3,3,3,0,MA PD,2013
H1608,3,2,4,4,2,3,5,2,1,4,0,0,0,3,4,5,4,5,4,4,2,1,2,4,4,3,4,2,4,3,2,5,3,0,0,4,5,5,5,3,0,5,3,2,5,5,0,4,5,4,4,3,4,4,4,0,MA PD,2013
H1609,3,4,5,5,3,3,4,3,2,4,0,0,0,2,4,5,4,4,5,0,2,2,2,4,5,4,4,4,5,4,2,3,4,4,0,4,5,5,5,2,0,5,4,2,3,3,4,4,4,4,4,3,5,4,4,0,MA PD,2013
H1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,0,3,2,0,0,0,1,4,0,0,0,0,0,4,5,4,3,4,4,0,PART D ,2013
H1681,2,3,4,4,2,2,0,0,2,2,0,0,0,0,1,4,2,2,3,2,2,1,4,5,2,4,4,4,3,1,4,1,5,4,0,5,5,5,5,5,0,5,1,4,1,4,4,4,4,4,1,3,3,3,3,0,MA PD,2013
H1716,2,4,4,3,3,4,5,3,3,4,0,0,0,1,3,4,3,2,3,4,2,1,3,4,5,2,4,4,5,2,4,1,1,5,0,5,5,5,5,4,0,5,2,4,1,4,4,4,4,4,3,3,4,3,4,0,MA PD,2013
H1717,2,2,2,2,2,1,4,5,1,4,4,5,5,0,3,4,2,2,3,0,1,3,4,4,4,3,4,1,3,3,1,1,2,5,3,5,5,5,5,2,0,5,3,1,1,1,0,1,4,4,2,1,1,2,2,0,MA PD,2013
H1777,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,3,0,3,5,1,0,0,4,4,5,2,0,0,0,3,4,1,2,2,4,0,PART D ,2013
