CONTRACT_ID,Breast.Cancer.Screening,Colorectal.Cancer.Screening,Cardiovascular.Care...Cholesterol.Screening,Diabetes.Care...Cholesterol.Screening,Glaucoma.Testing,Annual.Flu.Vaccine,Improving.or.Maintaining.Physical.Health,Improving.or.Maintaining.Mental.Health,Monitoring.Physical.Activity,Adult.BMI.Assessment,Care.for.Older.Adults...Medication.Review,Care.for.Older.Adults...Functional.Status.Assessment,Care.for.Older.Adults...Pain.Screening,Osteoporosis.Management.in.Women.who.had.a.Fracture,Diabetes.Care...Eye.Exam,Diabetes.Care...Kidney.Disease.Monitoring,Diabetes.Care...Blood.Sugar.Controlled,Diabetes.Care...Cholesterol.Controlled,Controlling.Blood.Pressure,Rheumatoid.Arthritis.Management,Improving.Bladder.Control,Reducing.the.Risk.of.Falling,Plan.All.Cause.Readmissions,Getting.Needed.Care,Getting.Appointments.and.Care.Quickly,Customer.Service,Overall.Rating.of.Health.Care.Quality,Overall.Rating.of.Plan,Care.Coordination,Complaints.about.the.Health.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Improvement,Plan.Makes.Timely.Decisions.about.Appeals,Reviewing.Appeals.Decisions,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Enrollment.Timeliness,Call.Center...Pharmacy.Hold.Time,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Appeals.Auto.Forward,Appeals.Upheld,Enrollment.Timeliness_D,Complaints.about.the.Drug.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Improvement,Getting.Information.From.Drug.Plan,Rating.of.Drug.Plan,Getting.Needed.Prescription.Drugs,MPF.Price.Accuracy,High.Risk.Medication,Diabetes.Treatment,Part.D.Medication.Adherence.for.Oral.Diabetes.Medications,Part.D.Medication.Adherence.for.Hypertension..RAS.antagonists.,Part.D.Medication.Adherence.for.Cholesterol..Statins.,Special Needs Plan (SNP) Care Management,Contract_Type,Year
H5943,0,0,0,0,0,0,0,0,0,0,100,90,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,72,0,0.6,68,0,0,0,0,12,0,0,0,0,0,98,11.9,76.1,79.5,66.1,64.6,0,PART D,2013
H5969,60,41,78,85,64,70,66,80,52,54,55,15,17,0,64,86,63,41,50,0,33,62,12,81,72,86,82,85,84,17,100,20,0,0,0,73,92,0.4,59,0,0,92,17,100,20,0,77,85,88,99,6.4,84.5,62.5,66.1,61.9,0,MA PD,2013
H5970,64,53,91,87,70,66,0,0,42,61,0,0,0,0,66,87,61,38,59,0,36,52,11,84,78,86,85,84,86,65,67,100,0,100,0,98,95,0.7,97,0,0,95,65,67,10,0,83,83,90,98,5.8,84.1,75.4,79.8,75.7,0,MA PD,2013
H5985,60,48,85,84,63,52,65,69,44,56,42,34,19,16,62,86,59,42,54,62,30,60,13,84,73,89,83,87,80,32,80,11,0,92,74,96,89,0.6,93,15.1,0,89,32,80,11,0,83,84,87,99,4.9,86.2,62.1,62.1,59.7,0,MA PD,2013
H5989,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,92,0,2,94,0,0,0,0,100,0,0,0,0,0,99,3.1,79.2,86.9,86.4,74,0,PART D,2013
H5991,75,70,87,82,67,59,69,77,58,83,77,39,70,0,68,91,67,44,67,0,0,65,14,80,69,86,81,86,83,24,100,15,0,100,0,95,0,0.9,84,13,0,0,24,100,15,0,76,82,89,98,1.9,90.2,68.7,69.3,55.1,0,MA PD,2013
H5992,0,0,0,0,0,78,0,0,52,0,78,65,62,0,0,0,0,0,0,0,43,84,0,88,78,92,88,92,83,0,100,0,0,0,0,56,0,0.9,55,0,0,0,0,100,0,0,87,90,93,98,12.1,84.3,81.1,79.1,77.2,0,PART D,2013
H5995,64,41,88,83,60,65,71,77,46,73,74,20,29,80,70,87,54,35,61,80,35,78,100,83,77,89,87,83,86,10,100,30,0,94,88,98,0,1.3,93,0,0,0,10,100,3,0,0,83,90,97,17.2,81.2,77.7,76.8,78.6,0,MA PD,2013
H6169,57,47,79,82,55,65,0,0,0,46,0,0,0,90,46,85,51,32,41,72,0,0,13,86,75,87,86,84,85,52,100,26,0,82,86,92,95,1.7,91,1.1,0,95,52,100,26,0,0,81,0,0,9.5,84,70.2,68.9,64.6,0,MA PD,2013
H6178,0,0,0,0,0,65,0,0,51,0,67,41,36,0,0,0,0,0,0,0,0,0,0,80,72,86,82,83,80,87,100,17,0,0,0,83,0,2.6,80,10.4,67,0,87,100,17,0,80,82,87,98,13.1,87.3,63.4,61.3,58.6,0,PART D,2013
H6181,76,51,98,94,65,63,0,0,51,66,69,63,39,0,71,90,68,49,64,0,0,0,20,81,71,85,82,83,81,65,80,24,0,39,0,74,92,1.1,75,30.2,0,92,65,80,24,0,0,83,85,99,6.1,91.3,69.7,64,53.9,0,MA PD,2013
H6328,81,78,98,92,78,71,0,0,53,80,0,0,0,0,65,94,77,63,64,86,34,40,13,87,78,95,88,90,89,43,100,70,0,0,0,71,97,1.7,79,0,0,97,43,100,7,0,90,88,93,99,10.7,84.9,76.5,78.2,71,0,MA PD,2013
H6360,87,86,96,96,78,75,68,74,45,94,0,0,0,35,88,95,89,76,89,88,30,62,100,87,83,91,88,89,86,20,80,40,0,95,76,0,88,0,0,0,0,88,20,80,4,0,90,91,95,99,4.4,83.3,80.5,81.7,75.6,0,MA PD,2013
H6411,61,40,89,86,56,63,0,0,44,61,0,0,0,0,48,89,56,47,55,73,33,53,80,83,70,84,83,82,80,64,67,12,0,98,0,98,97,0.5,97,1.6,0,97,64,67,12,0,83,85,89,98,7.2,88.8,71.9,73.7,69.4,0,MA PD,2013
H6528,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,74,90,84,84,83,77,100,29,0,0,0,91,92,0.5,91,10.9,0,92,77,100,29,0,0,85,92,99,7,74.4,0,57.3,53.4,0,PART D,2013
H6609,73,55,89,88,69,75,0,0,49,66,0,0,0,16,62,87,69,53,68,82,36,52,14,87,77,84,86,85,85,11,67,60,0,96,94,98,93,0.6,97,0.9,86,93,11,67,6,0,82,85,90,97,6.1,86,82.3,81.6,78.2,0,MA PD,2013
H6622,0,81,0,94,76,75,0,0,0,83,0,0,0,0,64,96,78,62,78,0,0,0,80,89,84,87,89,88,90,26,67,50,0,100,0,98,96,0.6,97,6.6,0,96,26,67,5,0,83,88,91,97,4.5,82.3,85.3,84.9,79.5,0,MA PD,2013
H6642,52,27,0,91,57,61,0,0,47,40,0,0,0,0,51,87,40,0,0,0,27,49,13,75,67,87,82,82,83,14,19,22,0,93,0,76,80,0.5,48,0,0,80,14,19,22,0,0,82,89,99,7.4,88.4,67,66.1,58.3,0,MA PD,2013
H6705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,76,0,0.4,48,0,0,0,0,19,0,0,0,0,0,99,2.5,87.1,57.9,58.9,48.5,0,PART D,2013
H6743,0,0,0,84,0,71,0,0,0,0,0,0,0,0,66,84,78,48,61,84,0,0,0,86,76,92,85,84,85,11,80,100,0,0,0,89,100,0.5,90,0,0,1,11,80,10,0,87,85,94,99,7.2,81.1,72.9,74.8,68.5,0,MA PD,2013
H6864,0,0,0,0,0,0,0,0,0,0,92,93,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,62,0,1.3,64,0,0,0,0,100,0,0,0,0,0,99,10.2,85.1,76.3,74.6,64.7,0,PART D,2013
H6900,66,59,89,84,69,68,0,0,43,67,0,0,0,25,57,86,66,49,62,78,29,55,13,83,78,84,86,82,85,70,67,15,0,97,0,98,95,0.7,97,0,0,95,70,67,15,0,80,86,91,98,5.2,82.6,80.3,80.2,75.8,0,MA PD,2013
H6923,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,37,49,0,0,0,0,0,0,0,11,40,24,0,0,0,94,0,2.9,89,0,0,0,11,40,24,0,0,0,0,98,3.2,82.1,66.3,71.8,71,0,PART D,2013
H6952,61,45,83,84,59,54,0,0,46,76,60,46,43,0,64,88,64,44,58,53,0,0,100,86,73,83,85,85,82,55,12,15,0,31,71,92,0,0.9,95,0,0,0,55,12,15,0,0,87,89,99,14.8,85.8,69,69.2,63,0,MA PD,2013
H7002,68,50,90,87,63,65,0,0,43,51,0,0,0,0,53,85,60,39,57,76,35,47,12,86,74,90,86,87,86,36,67,12,0,0,0,98,93,0.6,97,0,0,93,36,67,12,0,87,86,93,97,12.5,83.3,71.6,73.7,66.4,0,MA PD,2013
H7006,84,55,93,93,82,73,0,0,48,81,0,0,0,0,79,94,61,41,59,0,44,49,90,88,80,93,88,89,85,12,80,50,0,0,0,98,100,1.3,93,0,0,1,12,80,5,0,89,87,94,99,9.1,82,83,80.8,78.1,0,MA PD,2013
H7015,64,40,88,86,66,60,63,70,50,43,44,17,20,0,62,85,52,31,48,74,0,60,13,79,70,87,83,84,85,37,100,22,0,83,77,83,98,0.9,89,1.9,0,98,37,100,22,0,0,85,85,98,7.2,88.2,58.7,58.8,46.7,0,MA PD,2013
H7086,0,0,0,0,0,68,0,0,63,0,89,81,80,0,0,0,0,0,0,0,0,62,0,0,70,86,82,82,82,15,100,16,0,0,0,84,0,0.4,89,0,0,0,15,100,16,0,0,84,90,99,8.7,91.4,70.7,69,65.5,0,PART D,2013
H7149,67,56,83,83,60,71,68,80,44,59,0,0,0,43,62,85,80,58,63,0,29,56,12,88,81,88,87,84,86,43,40,11,0,0,0,89,98,0.5,89,10.6,0,98,43,40,11,0,0,85,92,99,5.3,78.9,69.1,72.8,69.8,0,MA PD,2013
H7187,64,47,84,85,55,65,70,75,49,50,0,0,0,70,49,88,70,47,57,79,35,58,11,87,76,84,86,84,87,35,0,13,0,81,88,94,97,0.9,91,0.9,0,97,35,0,13,0,82,85,92,99,7.5,82.4,72.1,71,66.4,0,MA PD,2013
H7188,60,49,83,83,65,61,69,74,38,56,0,0,0,13,53,82,61,40,54,87,33,47,13,86,75,84,88,87,85,52,67,31,0,97,0,98,95,0.6,97,0,0,95,52,67,31,0,82,88,91,98,10.8,81.7,75.2,74.4,71.2,0,MA PD,2013
H7200,56,45,85,86,50,62,0,0,41,75,70,75,65,0,64,91,70,49,62,0,0,0,12,84,73,86,83,85,83,83,80,14,0,37,0,74,99,1.2,75,17.9,0,99,83,80,14,0,80,87,91,99,15.2,88.7,64.6,62.6,58.8,0,MA PD,2013
H7220,74,73,91,87,70,82,0,0,48,82,0,0,0,14,71,92,82,62,72,90,29,56,13,90,81,93,90,89,89,14,80,50,0,0,0,91,97,1,91,0,0,97,14,80,5,0,88,87,94,97,8.6,85.1,77.6,79.6,72.8,0,MA PD,2013
H7281,58,39,80,85,65,70,0,0,45,39,57,29,29,0,49,87,64,38,48,0,31,57,16,80,73,85,84,80,83,10,80,14,0,0,0,98,95,2.5,80,0,0,95,100,80,14,0,75,80,85,99,5.6,85.4,70.8,70.3,66.4,0,MA PD,2013
H7292,65,58,86,84,58,68,73,76,63,57,64,57,33,0,56,89,66,44,60,82,40,73,100,81,70,84,82,84,81,18,80,60,0,91,0,75,0,0.5,78,2.7,0,0,18,80,6,0,0,81,87,99,8,88.2,72.2,71.6,71.9,0,MA PD,2013
H7301,65,73,95,93,59,62,0,0,42,89,0,0,0,35,64,91,92,80,84,80,29,49,13,86,79,90,86,85,86,8,40,80,0,94,75,89,95,0.5,89,2,0,95,8,40,8,0,0,84,91,99,5.3,81.6,77.7,78.8,73.8,0,MA PD,2013
H7306,53,70,96,94,51,61,0,0,44,76,0,0,0,0,67,91,90,80,89,69,33,43,11,79,73,88,86,83,84,82,40,20,0,0,0,89,94,0.5,89,4.2,0,94,82,40,20,0,0,83,90,99,8.1,81.4,66.9,67.7,63,0,MA PD,2013
H7352,67,56,81,86,67,59,66,78,44,81,87,58,72,0,76,90,70,50,65,60,0,64,16,79,74,83,83,84,79,22,80,17,0,78,79,69,0,1,70,4.1,0,0,22,80,17,0,0,84,88,98,5,86.5,63.3,66.3,58.1,0,MA PD,2013
H7526,0,0,0,0,0,0,0,0,0,0,95,71,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,75,0,0.4,59,0,0,0,0,80,0,0,0,0,0,98,4.3,80.7,71.8,73.4,73.6,0,PART D,2013
H7678,0,0,0,0,0,0,0,0,0,0,57,37,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,88,98,1.3,77,0,0,98,0,100,0,0,0,0,0,99,8.9,86.7,67.4,63.9,50.8,0,PART D,2013
H7787,67,53,90,89,56,73,0,0,46,80,0,0,0,0,59,92,63,49,53,77,39,50,14,81,76,89,86,86,86,97,80,14,0,97,0,89,87,2.2,81,0,0,87,97,80,14,0,83,88,93,99,11.2,86.3,68.9,69,64.2,0,MA PD,2013
H7908,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,94,93,2.9,89,0,0,93,0,40,0,0,0,0,0,98,3,87.4,59.5,73.4,61.9,0,PART D,2013
H7917,74,55,91,91,71,77,0,0,48,67,0,0,0,23,68,89,82,57,68,79,36,55,13,85,75,87,85,84,85,32,60,11,0,91,74,74,97,1.7,91,8.9,48,97,32,60,11,0,0,84,91,99,11,83.3,74.6,75.3,67.1,0,MA PD,2013
H7949,76,76,91,93,65,67,0,0,45,68,0,0,0,0,73,94,87,63,62,0,33,44,60,82,70,83,81,82,83,16,12,100,0,78,0,94,97,0.7,91,0,0,97,16,12,10,0,86,87,94,99,7.1,88.3,78.2,75.2,75.9,0,MA PD,2013
H8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,100,0,0,0,0,92,89,0.7,94,0,0,89,13,100,0,0,0,0,0,98,6.9,82.5,79,70,68.6,0,PART D,2013
H8098,62,41,84,82,58,63,0,0,0,60,0,0,0,11,47,80,100,100,0,62,0,0,12,84,74,88,86,83,85,38,19,21,0,93,92,76,86,0.5,48,0,0,86,38,19,21,0,76,81,91,99,6.7,83,67.2,67.2,61.6,0,MA PD,2013
H8130,0,0,0,0,0,0,0,0,55,0,44,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,100,31,0,0,0,88,100,1.6,77,0,0,1,59,100,31,0,0,0,0,99,6.4,90.8,61.8,56.9,50.1,0,PART D,2013
H8145,62,55,88,84,60,70,0,0,0,62,0,0,0,17,54,88,57,46,57,76,0,0,13,88,78,88,87,86,88,36,67,16,0,99,95,98,94,0.6,97,0.2,94,94,36,67,16,0,82,86,91,97,8.2,83.1,76.2,76.4,71.8,0,MA PD,2013
H8393,70,59,95,82,63,69,0,0,45,49,0,0,0,0,56,85,82,47,70,0,31,51,11,85,79,87,87,82,87,18,40,100,0,0,0,89,95,0.5,89,15.1,0,95,18,40,10,0,83,82,90,99,5.8,76.4,75,76.3,70.6,0,MA PD,2013
H8578,87,76,96,96,82,79,0,0,55,85,0,0,0,0,96,96,87,68,75,0,41,56,100,86,80,94,89,90,86,12,100,20,0,100,92,79,0,0.6,75,0,0,0,12,100,2,0,88,87,94,99,4.8,83,81.9,80.5,77.1,0,MA PD,2013
H8604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,93,37,0.7,91,0,0,37,0,80,0,0,0,0,0,99,9.4,83.2,77.6,83.4,68.4,0,PART D,2013
H8644,53,42,86,80,56,70,65,71,40,56,0,0,0,14,45,84,61,35,63,70,28,47,13,83,77,85,87,84,84,55,67,100,0,100,100,98,97,0.6,97,0,0,97,55,67,10,0,83,84,91,98,11.2,85,75.6,73.7,69.9,0,MA PD,2013
H8649,63,66,87,82,60,65,71,80,54,73,0,0,0,29,66,89,82,52,73,86,38,43,100,87,75,86,85,85,85,23,40,18,0,55,82,89,84,0.5,89,0,0,84,23,40,18,0,0,83,91,99,7.4,89.6,73.4,70.9,66.9,0,MA PD,2013
H8684,72,64,80,90,76,82,0,0,52,64,0,0,0,0,85,90,80,63,70,0,42,61,14,87,78,88,86,83,85,51,20,100,0,0,0,94,0,3.2,89,0,0,0,51,20,1,0,0,83,91,98,3.7,79.9,77.7,81.5,78.2,0,MA PD,2013
H8707,69,52,81,84,63,74,0,0,49,55,0,0,0,24,58,87,63,38,65,73,30,55,12,86,74,88,86,88,86,27,67,16,0,93,0,98,96,0.7,97,0,0,96,27,67,16,0,87,86,90,97,9.8,84.5,74.2,73.9,68.5,0,MA PD,2013
H8748,63,46,90,86,59,67,0,0,54,38,0,0,0,0,49,89,61,45,49,66,36,54,11,88,74,91,86,84,86,96,0,16,0,74,86,94,97,0.9,91,0,0,97,96,0,16,0,81,84,91,99,7.4,83.7,69.1,69.1,64.7,0,MA PD,2013
H8822,62,51,84,75,58,70,0,0,53,57,0,0,0,0,56,83,57,35,52,0,37,63,18,82,71,89,84,86,84,17,100,12,0,0,0,90,96,1.5,93,0,0,96,17,100,12,0,86,87,93,99,9.3,85,66.5,66.2,59.4,0,MA PD,2013
H8953,63,58,91,92,68,69,0,0,45,89,0,0,0,0,63,91,84,57,65,73,27,50,14,83,77,85,87,83,87,61,67,11,0,99,0,98,97,0.7,97,1.6,0,97,61,67,11,0,83,86,90,97,7.7,85.8,79,77.5,70.9,0,MA PD,2013
H8980,72,56,99,92,58,67,0,0,35,72,0,0,0,0,77,87,84,71,83,0,34,60,17,86,79,92,88,86,88,12,40,100,0,0,0,89,97,0.7,89,7.7,0,97,12,40,10,0,0,86,93,99,5.4,80.7,71.6,71.4,68.6,0,MA PD,2013
H8991,64,51,85,89,63,50,55,62,49,74,84,79,68,0,60,90,71,49,72,0,0,61,15,77,77,85,84,85,84,108,80,17,0,55,94,74,0,1.1,75,0,0,0,108,80,17,0,82,85,91,99,11.4,86,62,58.9,53.4,0,MA PD,2013
H9001,88,81,93,95,83,75,68,77,51,92,95,97,96,32,87,94,89,62,74,85,36,61,12,85,81,90,89,88,90,25,80,30,0,92,86,79,92,1.6,81,0,0,92,25,80,3,0,0,87,94,98,5.1,79.8,81.6,83.6,78.4,0,MA PD,2013
H9003,89,86,97,97,78,78,61,77,49,98,0,0,0,53,83,97,92,74,80,87,37,54,100,87,82,93,88,91,88,24,80,100,0,98,99,99,90,0.4,95,0.2,0,90,24,80,1,0,91,91,97,99,4.4,87.6,86.3,85.8,83,0,MA PD,2013
H9011,68,59,90,91,56,53,61,80,55,39,0,0,0,12,55,84,72,55,63,76,40,57,12,71,65,81,79,71,80,26,12,30,0,87,70,93,96,0.9,93,0,0,96,26,12,30,0,0,81,90,99,5.9,83.5,69.5,70.7,61.6,0,MA PD,2013
H9047,80,77,92,94,79,79,62,77,52,88,0,0,0,25,85,93,91,70,71,85,37,52,100,86,82,92,89,90,87,3,80,30,0,94,80,91,93,1.2,94,0.4,0,93,3,80,3,0,91,86,95,98,7.9,84.9,80.5,81,77.7,0,MA PD,2013
H9082,0,0,0,0,0,68,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,68,82,82,83,82,58,80,0,0,0,0,88,95,1.3,77,0,0,95,58,80,0,0,0,84,88,99,8,89.6,62.2,64.2,65.7,0,PART D,2013
H9104,74,66,92,93,73,75,62,78,43,67,69,97,90,23,78,94,85,66,74,60,30,65,100,80,76,87,84,88,81,21,32,50,0,95,78,67,0,0.6,57,0,80,0,21,32,5,0,83,87,91,96,8.3,83.6,73.3,75.1,73.1,0,MA PD,2013
H9302,70,63,81,88,71,71,68,79,49,49,0,0,0,22,66,88,76,51,64,79,31,52,11,87,81,92,87,86,88,34,80,80,0,96,75,70,67,1.1,75,0.9,0,67,34,80,8,0,85,85,92,99,7.5,85.7,78.9,79.6,75.6,0,MA PD,2013
H9385,63,52,89,90,56,70,55,77,47,79,73,63,48,15,61,91,83,56,68,62,38,55,15,83,75,91,85,86,84,20,12,19,0,67,44,70,94,0.6,69,14,0,94,20,12,19,0,84,83,90,97,7.4,83.3,72.8,74.4,70.9,0,MA PD,2013
H9503,61,49,88,87,60,59,0,0,49,69,0,0,0,0,56,91,71,53,59,0,41,52,12,83,74,86,84,82,83,59,67,16,0,100,0,98,94,0.5,97,0,0,94,59,67,16,0,83,83,88,97,8.7,87.1,72.7,72.7,69.4,0,MA PD,2013
H9572,75,62,89,89,70,71,0,0,51,58,0,0,0,14,64,83,65,48,49,79,43,55,14,88,77,90,88,84,86,4,80,20,0,83,74,85,89,0.7,76,4.9,0,89,4,80,2,0,0,85,94,99,4.6,82.3,79.7,83.1,78.8,0,MA PD,2013
H9615,76,73,91,93,79,75,0,0,55,86,0,0,0,19,75,89,87,62,73,75,42,46,12,89,81,92,87,89,87,43,100,90,0,0,0,94,91,0.7,97,0,0,91,43,100,9,0,88,85,93,99,5,82.1,80.7,84,78.1,0,MA PD,2013
H9670,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,77,92,88,88,86,15,100,0,0,0,0,94,0,0.9,94,0,0,0,15,100,0,0,0,85,96,98,10.4,72.7,71.5,78.4,74.9,0,MA PD,2013
H9847,73,60,87,87,62,74,0,0,53,68,0,0,0,28,66,89,82,59,64,87,38,60,13,89,78,91,87,87,88,27,40,100,0,0,0,89,97,0.7,89,13.5,0,97,27,40,10,0,81,85,93,99,8.5,82.4,69.4,71.8,65,0,MA PD,2013
H9859,75,76,92,90,76,77,64,75,52,90,0,0,0,15,78,89,87,64,72,83,36,57,11,88,80,92,88,89,86,31,100,40,0,95,89,94,77,0.7,97,0,0,77,31,100,4,0,85,86,92,99,4.8,83.7,78.2,82.9,78.4,0,MA PD,2013
R3175,60,45,88,89,63,66,64,79,50,47,32,19,22,23,68,91,82,58,51,71,36,59,12,82,70,84,85,83,86,29,0,90,0,92,0,95,99,0.6,89,3.4,0,99,29,0,9,0,0,83,90,99,5.7,85.1,67.6,68.7,68,0,MA PD,2013
R3332,72,51,94,92,60,70,0,0,50,48,0,0,0,20,54,87,72,53,61,74,36,55,14,84,76,85,85,83,84,60,80,12,0,95,85,84,88,1.5,93,0.8,78,88,60,80,12,0,84,82,90,99,5.2,83,73.6,76.7,70.2,0,MA PD,2013
R3444,52,38,82,80,64,63,62,74,41,80,83,82,82,17,48,91,56,39,45,64,25,65,20,87,75,89,86,86,87,38,100,14,0,98,81,91,88,0.5,91,1.9,0,88,38,100,14,0,0,85,91,99,13.3,84.8,69.4,67.3,64.3,0,MA PD,2013
R5287,67,55,89,90,63,65,64,77,51,43,37,17,24,20,61,87,67,48,52,75,42,55,13,85,77,87,85,83,84,38,0,19,0,86,86,95,96,0.9,90,0,81,96,38,0,19,0,84,81,91,99,7.1,83.6,70.5,69.9,66,0,MA PD,2013
R5342,58,49,86,83,59,69,70,81,44,48,0,0,0,13,58,83,68,50,63,77,35,53,13,86,77,86,86,83,86,45,0,12,0,76,87,95,96,0.9,90,0.6,0,96,45,0,12,0,0,82,92,99,5.7,83.8,74.2,75.2,71.8,0,MA PD,2013
R5826,67,54,86,89,62,72,60,77,52,58,0,0,0,18,57,83,68,47,63,76,41,57,13,85,73,88,85,84,85,50,67,80,0,97,89,98,95,0.6,97,0.3,92,95,50,67,8,0,0,82,88,98,8.7,84.2,75.5,75.5,71.1,0,MA PD,2013
R5941,65,54,83,85,60,65,61,74,41,66,0,0,0,21,61,85,78,53,64,84,33,51,14,85,76,90,86,86,87,31,47,60,0,82,81,68,94,0.4,74,5.5,46,94,31,47,6,0,86,85,90,97,7.7,82.8,73.8,75.6,70.3,0,MA PD,2013
R6801,56,42,87,86,65,71,67,72,49,80,80,79,79,18,46,93,57,43,50,64,32,67,18,86,73,88,85,87,85,37,80,16,0,94,74,91,93,0.5,91,1.9,0,93,37,80,16,0,83,85,89,99,10.2,86.7,66.4,65.1,59.6,0,MA PD,2013
R7439,74,70,92,92,78,79,0,0,0,33,0,0,0,24,74,90,82,64,54,76,0,0,11,88,78,90,88,89,86,7,80,11,0,83,64,88,94,1,88,6.8,0,94,7,80,11,0,81,86,94,99,4.4,85.9,77.7,76.3,73.3,0,MA PD,2013
R7444,70,57,90,86,67,70,0,0,52,50,0,0,0,15,66,89,64,47,56,79,43,59,12,85,74,84,85,80,85,63,0,48,0,76,90,94,95,0.9,91,1.2,0,95,63,0,48,0,0,83,93,99,4.6,85.6,75.6,77.4,70.7,0,MA PD,2013
R9896,64,47,86,83,67,67,65,77,50,85,89,89,89,14,49,94,54,39,43,67,29,71,17,88,74,89,85,88,86,35,80,12,0,96,75,91,90,0.7,91,2.6,0,90,35,80,12,0,82,86,91,99,12.1,85.9,65.4,63.6,58.5,0,MA PD,2013
E0654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,100,0,0,85,87,92,0,7.2,80.6,77,77.1,70.8,0,PART D,2013
E2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,2,100,0,0,79,85,89,0,10.3,82.8,80.5,82.8,79.1,0,PART D,2013
E2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,100,0,0,88,89,93,0,8.5,76.8,79.8,79.7,75.8,0,PART D,2013
E3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,80,0,2,100,0,0,87,90,93,0,6.2,80.2,80.1,81.1,75.8,0,PART D,2013
E4744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,3,100,0,0,80,83,90,0,8.8,82.4,82.5,80,75.1,0,PART D,2013
E6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,64,0,2,100,0,0,80,83,90,0,12.9,83,79.5,78.9,71.8,0,PART D,2013
E7316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,86,88,88,0,7.6,80.1,68.7,72.4,67.5,0,PART D,2013
E7848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,2,100,0,0,76,81,89,0,13.5,82.4,75.3,77.6,73.3,0,PART D,2013
S0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,84,12.9,0,0,37,100,17,0,80,77,83,94,2.5,87.8,55.1,59.7,33.1,0,PART D,2013
S0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,86,0,0,98,44,40,17,0,0,85,93,99,8.7,82.5,79.4,74.9,74.5,0,PART D,2013
S0655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3,0,0,24,100,0,0,82,86,90,98,6.9,84,79.3,79.7,73.7,0,PART D,2013
